IATA,ICAO,Airline,Callsign,Country
M3,TUS,ABSA Cargo Airline,ABSA Cargo,Brazil
GB,ABX,ABX Air,ABEX,USA
9T,RUN,ACT Airlines,CARGO TURK,Turkey
9N,AJV,ANA & JP Express,AYJAY CARGO,Japan
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russia
2E,PHW,AVE.com,PHOENIX SHARJAH,United Arab Emirates
K5,ABE,Aban Air,ABAN,Iran
W9,AAB,Abelag Aviation,ABG,Belgium
MO,AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
ZY,ADE,Ada Air,ADA AIR,Albania
JP,ADR,Adria Airways,ADRIA,Slovenia
A3,AEE,Aegean Airlines,AEGEAN,Greece
RE,REA,Aer Arann,AER ARANN,Ireland
EI,EIN,Aer Lingus,SHAMROCK,Ireland
E4,RSO,Aero Asia International,AERO ASIA,Pakistan
EM,AEB,Aero Benin,AEROBEN,Benin
7L,CRN,Aero Caribbean,AEROCARIBBEAN,Cuba
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru
AJ,NIG,Aero Contractors,AEROLINE,Nigeria
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka
M0,MNG,Aero Mongolia,AERO MONGOLIA,Mongolia
W4,BES,Aero Services Executive,BIRD EXPRESS,France
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
BF,RSR,Aero-Service,CONGOSERV,Congo
HC,ATI,Aero-Tropics Air Services,AEROTROPICS,Australia
3S,BOX,AeroLogic,GERMAN CARGO,Germany
AM,AMX,Aeroméxico,AEROMEXICO,Mexico
P5,RPB,AeroRepublica,AEROREPUBLICA,Colombia
6N,KRE,AeroSucre,AEROSUCRE,Colombia
2B,ARD,Aerocondor,AEROCONDOR,Portugal
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
SU,RCF,Aeroflot-Cargo,AEROFLOT CARGO,Russia
D9,DNV,Aeroflot-Don,DONAVIA,Russia
5N,AUL,Aeroflot-Nord,DVINA,Russia
KG,GTV,Aerogaviota,GAVIOTA,Cuba
AR,ARG,Aerolineas Argentinas,ARGENTINA,Argentina
2K,GLG,Aerolineas Galapagos (Aerogal),AEROGAL,Ecuador
P4,NSO,Aerolineas Sosa,SOSA,Honduras
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico
HT,AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
5D,SLI,Aeroméxico Connect,COSTERA,Mexico
OT,PEL,Aeropelican Air Services,PELICAN,Australia
WL,APP,Aeroperlas,AEROPERLAS,Panama
VH,LAV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela
5L,RSU,Aerosur,AEROSUR,Bolivia
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine
FK,WTA,Africa West,WEST TOGO,Togo
XU,AXK,African Express Airways,EXPRESS JET,Kenya
6F,FRJ,Afrijet Airlines,AFRIJET,Nigeria
Q9,AFU,Afrinat International Airlines,,Gambia
8U,AAW,Afriqiyah Airways,AFRIQIYAH,Libya
ZI,AAF,Aigle Azur,AIGLE AZUR,France
AH,DAH,Air Algerie,AIR ALGERIE,Algeria
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark
A6,LPV,Air Alps Aviation,AIR ALPS,Austria
G9,ABY,Air Arabia,ARABIA,United Arab Emirates
QN,ARR,Air Armenia,AIR ARMENIA,Armenia
KC,KZR,Air Astana,ASTANALINE,Kazakhstan
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
KI,AAG,Air Atlantique,ATLANTIC,United Kingdom
UU,REU,Air Austral,REUNION,Reunion
W9,JAB,Air Bagan,AIR BAGAN,Myanmar (Burma)
BT,BTI,Air Baltic,AIRBALTIC,Latvia
AB,BER,Air Berlin,AIR BERLIN,Germany
BP,BOT,Air Botswana,BOTSWANA,Botsuana
2J,VBW,Air Burkina,BURKINA,Burkina Faso
TY,TPC,Air Caledonie,AIRCAL,New Caledonia (France)
AC,ACA,Air Canada,AIR CANADA,Canada
QK,JZA,Air Canada Jazz,JAZZ,Canada
TX,FWI,Air Caraibes,FRENCH WEST,Guadeloupe - French Antilles
2Q,SNC,Air Cargo Carriers,NIGHT CARGO,USA
NV,CRF,Air Central,AIR CENTRAL,Japan
CV,CVA,Air Chathams,CHATHAM,New Zealand
CA,CCA,Air China,AIR CHINA,China - Peoples Republic
CA,CAO,Air China Cargo,AIRCHINA FREIGHT,China - Peoples Republic
QD,QCL,Air Class Lineas Aereas,ACLA,Uruguay
A7,MPD,Air Comet,RED COMET,Spain
AG,ABR,Air Contractors,CONTRACT,Ireland
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique
YN,CRQ,Air Creebec,CREE,Canada
EN,DLA,Air Dolomiti,DOLOMOTI,Italy
UX,AEA,Air Europa,EUROPA,Spain
PC,FAJ,Air Fiji,FIJIAIR,Fiji
OF,FIF,Air Finland,AIR FINLAND,Finland
AF,AFR,Air France,AIRFRANS,France
AF,AFN,Air Freight NZ,AIR FREIGHT,New Zealand
ZX,GGN,Air Georgian,GEORGIAN,Canada
7T,AGV,Air Glaciers,AIR GLACIERS,Switzerland
GL,GRL,Air Greenland,GREENLAND,Denmark
LQ,GNC,Air Guinea Cargo,GUINEA CARGO,Equatorial Guinea
GG,GUY,Air Guyane Express,GREEN BIRD,French Guiana
LD,AHK,Air Hong Kong,AIR HONG KONG,China - Peoples Republic
8C,HZT,Air Horizon,HORIZON TOGO,Togo
NY,FXI,Air Iceland Connect,FAXI,Iceland
AI,AIC,Air India,AIRINDIA,India
IX,AXB,Air India Express,EXPRESS INDIA,India
CD,LLR,Air India Regional,ALLIED,India
3H,AIE,Air Inuit,AIR INUIT,Canada
I9,AEY,Air Italy,AIR ITALY,Italy
4Q,AEI,Air Italy Polska,POLISH BIRD,Poland
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast
JM,AJM,Air Jamaica,JAMAICA,Jamaica
NQ,AJX,Air Japan,AIR JAPAN,Japan
4A,AKL,Air Kiribati,,Kiribati
0K,KRT,Air Kokshetau,KOKTA,Kazakhstan
JS,KOR,Air Koryo,AIR KORYO,North Korea
WJ,LAL,Air Labrador,LAB AIR,Canada
7Q,TLR,Air Libya,AIR LIBYA,Libya
NX,AMU,Air Macao,AIR MACAO,China - Peoples Republic
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar
QM,AML,Air Malawi,MALAWI,Malawi
XG,KLB,Air Mali International,TRANS MALI,Mali
KM,AMC,Air Malta,AIR MALTA,Malta
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius
DR,BIE,Air Mediterranee,MEDITERRANEE,France
MC,RCH,Air Mobility Command,REACH,USA
9U,MLD,Air Moldova,AIR MOLDOVA,Moldova
SW,NMB,Air Namibia,NAMIBIA,Namibia
NZ,RLK,Air Nelson,LINK,New Zealand
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand
7A,NXA,Air Next,BLUE-DOLPHIN,Japan
EL,ANK,Air Nippon,ANK AIR,Japan
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
PX,ANG,Air Niugini,NUIGINI,Papua New Guinea
4N,ANT,Air North,AIR NORTH,Canada
M3,NFA,Air Norway,NORTH FLYING,Norway
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
AP,ADH,Air One,HERON,Italy
FJ,FJI,Air Pacific,PACIFIC,Fiji
3D,APG,Air People International,AIR PEOPLE,Thailand
2P,GAP,Air Philippines,ORIENT PACIFIC,Philippines
EB,PLM,Air Pullmantur,PULLMANTUR,Spain
PJ,SPM,Air Saint Pierre,SAINT PIERRE,Saint-Pierre and Miquelon
